company,founded_year,sector,subsector,country,city,funding_usd_millions,valuation_usd_millions,employees,startup_stage,profitable,is_unicorn,data_source,company_key,startup_age,funding_log,valuation_log,funding_per_employee
Frugal AI,2021,Enterprise AI,Document AI / IDP,India,Bengaluru,8.0,40.0,30.0,Early Stage,,False,India AI Dataset,frugal ai,5,2.1972245773362196,3.713572066704308,0.26666666666666666
SuperAGI,2022,Agentic AI,Large Action Models,India,Bengaluru,15.0,80.0,75.0,Growth Stage,,False,India AI Dataset,superagi,4,2.772588722239781,4.394449154672439,0.2
Leena AI,2018,HR Tech,Employee AI,India,Delhi NCR,40.0,200.0,150.0,Growth Stage,,False,India AI Dataset,leena ai,8,3.713572066704308,5.303304908059076,0.26666666666666666
Neuron7 AI,2020,Enterprise AI,Field Service AI,India,Bengaluru,58.2,280.0,75.0,Growth Stage,,False,India AI Dataset,neuron7 ai,6,4.0809215418899605,5.638354669333745,0.776
Nanonets,2017,Enterprise AI,Document AI,India,Bengaluru,39.0,200.0,150.0,Growth Stage,,False,India AI Dataset,nanonets,9,3.6888794541139363,5.303304908059076,0.26
Atomicwork,2022,Enterprise AI,IT Service Mgmt AI,India,Bengaluru,39.0,200.0,75.0,Growth Stage,,False,India AI Dataset,atomicwork,4,3.6888794541139363,5.303304908059076,0.52
Rephrase.ai,2019,Media Tech,Synthetic Video AI,India,Bengaluru,36.0,150.0,75.0,Growth Stage,,False,India AI Dataset,rephrase.ai,7,3.6109179126442243,5.017279836814924,0.48
Entropik,2016,Market Research,Consumer Insights AI,India,Bengaluru,34.0,150.0,75.0,Growth Stage,,False,India AI Dataset,entropik,10,3.5553480614894135,5.017279836814924,0.4533333333333333
Whatfix,2014,Enterprise AI,Digital Adoption AI,India,Bengaluru,140.0,600.0,750.0,Late Stage,,False,India AI Dataset,whatfix,12,4.948759890378168,6.398594934535208,0.18666666666666668
Superops,2020,Enterprise AI,IT Management AI,India,Chennai,25.0,150.0,150.0,Late Stage,,False,India AI Dataset,superops,6,3.258096538021482,5.017279836814924,0.16666666666666666
Nurix AI,2024,Agentic AI,Customer Support AI,India,Bengaluru,27.5,200.0,75.0,Early Stage,,False,India AI Dataset,nurix ai,2,3.349904087274605,5.303304908059076,0.36666666666666664
Unifyapps,2023,Enterprise AI,Workflow Automation,India,Delhi NCR,20.0,100.0,75.0,Growth Stage,,False,India AI Dataset,unifyapps,3,3.044522437723423,4.61512051684126,0.26666666666666666
Truefoundry,2021,MLOps,ML Platform,India,Bengaluru,19.0,90.0,75.0,Growth Stage,,False,India AI Dataset,truefoundry,5,2.995732273553991,4.51085950651685,0.25333333333333335
Spyne,2018,Automotive,Visual AI / Auto Imaging,India,Delhi NCR,23.59,120.0,75.0,Growth Stage,,False,India AI Dataset,spyne,8,3.202339856228101,4.795790545596741,0.31453333333333333
Shipsy,2016,Logistics,Supply Chain AI,India,Delhi NCR,25.0,150.0,150.0,Growth Stage,,False,India AI Dataset,shipsy,10,3.258096538021482,5.017279836814924,0.16666666666666666
Contlo,2021,MarTech,Marketing AI,India,Bengaluru,14.3,80.0,75.0,Growth Stage,,False,India AI Dataset,contlo,5,2.72785282839839,4.394449154672439,0.19066666666666668
Prismforce,2021,HR Tech,Workforce AI,India,Mumbai,13.6,70.0,75.0,Growth Stage,,False,India AI Dataset,prismforce,5,2.681021528714291,4.2626798770413155,0.18133333333333332
Murf AI,2020,Media Tech,Text to Speech AI,India,Bengaluru,11.5,100.0,75.0,Growth Stage,,False,India AI Dataset,murf ai,6,2.5257286443082556,4.61512051684126,0.15333333333333332
Fireflies AI,2016,Productivity,Meeting Intelligence AI,India,Bengaluru,14.0,80.0,75.0,Growth Stage,,False,India AI Dataset,fireflies ai,10,2.70805020110221,4.394449154672439,0.18666666666666668
Vahan AI,2016,HR Tech,Recruitment AI,India,Bengaluru,10.0,60.0,75.0,Growth Stage,,False,India AI Dataset,vahan ai,10,2.3978952727983707,4.110873864173311,0.13333333333333333
Playment,2015,Data Annotation,Training Data,India,Bengaluru,9.0,0.0,75.0,Acquired,,False,India AI Dataset,playment,11,2.302585092994046,0.0,0.12
Staqu,2015,Security,Video Surveillance AI,India,Delhi NCR,5.0,30.0,75.0,Growth Stage,,False,India AI Dataset,staqu,11,1.791759469228055,3.4339872044851463,0.06666666666666667
Intello Labs,2016,AgriTech,Crop Quality AI,India,Gurugram,4.0,20.0,30.0,Early Stage,,False,India AI Dataset,intello labs,10,1.6094379124341003,3.044522437723423,0.13333333333333333
Planck Aerosystems,2018,Defence Tech,Drone AI,India,Hyderabad,4.5,25.0,30.0,Early Stage,,False,India AI Dataset,planck aerosystems,8,1.7047480922384253,3.258096538021482,0.15
Kore.ai,2014,Enterprise AI,Conversational AI Platform,India,Hyderabad,221.0,1000.0,750.0,Late Stage,,False,India AI Dataset,kore.ai,12,5.402677381872279,6.90875477931522,0.2946666666666667
Nextbillion.ai,2020,Logistics,Location Intelligence AI,India,Hyderabad,13.5,70.0,75.0,Growth Stage,,False,India AI Dataset,nextbillion.ai,6,2.6741486494265287,4.2626798770413155,0.18
Myelin Foundry,2019,Edge AI,Edge AI / Hardware,India,Bengaluru,8.0,40.0,75.0,Growth Stage,,False,India AI Dataset,myelin foundry,7,2.1972245773362196,3.713572066704308,0.10666666666666667
Actyv AI,2019,Fintech AI,Supply Chain Finance AI,India,Bengaluru,12.0,60.0,75.0,Early Stage,,False,India AI Dataset,actyv ai,7,2.5649493574615367,4.110873864173311,0.16
Avaamo,2014,Enterprise AI,Conversational AI,India,Bengaluru,27.5,150.0,150.0,Growth Stage,,False,India AI Dataset,avaamo,12,3.349904087274605,5.017279836814924,0.18333333333333332
Pixbuf,2018,Media Tech,Generative Image AI,India,Bengaluru,3.5,20.0,30.0,Early Stage,,False,India AI Dataset,pixbuf,8,1.5040773967762742,3.044522437723423,0.11666666666666667
OrbitShift,2022,Enterprise AI,Market Intelligence,India,Bengaluru,8.5,40.0,30.0,Early Stage,,False,India AI Dataset,orbitshift,4,2.2512917986064953,3.713572066704308,0.2833333333333333
Nektar AI,2020,Enterprise AI,Revenue Intelligence AI,India,Bengaluru,8.15,40.0,75.0,Growth Stage,,False,India AI Dataset,nektar ai,6,2.21375387928743,3.713572066704308,0.10866666666666668
Dhiwise,2021,Developer Tools,App Builder AI,India,Surat,9.5,50.0,75.0,Growth Stage,,False,India AI Dataset,dhiwise,5,2.3513752571634776,3.9318256327243257,0.12666666666666668
Singulr,2023,Enterprise AI,Agentic AI Platform,India,Pune,10.0,50.0,30.0,Early Stage,,False,India AI Dataset,singulr,3,2.3978952727983707,3.9318256327243257,0.3333333333333333
Rumik AI,2024,Consumer AI,Lifestyle AI,India,Lucknow,6.5,30.0,30.0,Early Stage,,False,India AI Dataset,rumik ai,2,2.0149030205422647,3.4339872044851463,0.21666666666666667
BrainsightAI,2019,HealthTech,Brain AI / Neurology,India,Bengaluru,6.6,30.0,30.0,Early Stage,,False,India AI Dataset,brainsightai,7,2.028148247292285,3.4339872044851463,0.22
Assert AI,2019,Security,Visual AI / Safety,India,Mumbai,6.0,30.0,75.0,Growth Stage,,False,India AI Dataset,assert ai,7,1.9459101490553132,3.4339872044851463,0.08
Two Platforms,2021,Foundation Models,LLM,India,Mumbai,15.0,80.0,75.0,Early Stage,,False,India AI Dataset,two platforms,5,2.772588722239781,4.394449154672439,0.2
Beacon Li,2023,Productivity,AI Search,India,Bengaluru,7.0,35.0,30.0,Growth Stage,,False,India AI Dataset,beacon li,3,2.0794415416798357,3.58351893845611,0.23333333333333334
Uncia AI,2023,Fintech AI,Lending AI,India,Bengaluru,3.0,20.0,30.0,Early Stage,,False,India AI Dataset,uncia ai,3,1.3862943611198906,3.044522437723423,0.1
Arrowhead AI,2024,Enterprise AI,Voice AI / Agentic AI,India,Bengaluru,3.0,15.0,30.0,Early Stage,,False,India AI Dataset,arrowhead ai,2,1.3862943611198906,2.772588722239781,0.1
Bolna AI,2023,Enterprise AI,Voice AI / Call Automation,India,Bengaluru,2.5,12.0,30.0,Early Stage,,False,India AI Dataset,bolna ai,3,1.252762968495368,2.5649493574615367,0.08333333333333333
Ozonetel,2007,Enterprise AI,Contact Center AI,India,Hyderabad,15.0,100.0,350.0,Growth Stage,,False,India AI Dataset,ozonetel,19,2.772588722239781,4.61512051684126,0.04285714285714286
PlayAI,2019,Media Tech,Voice AI / TTS,India,Bengaluru,23.7,100.0,75.0,Early Stage,,False,India AI Dataset,playai,7,3.2068032436339315,4.61512051684126,0.316
Enterpret,2020,Product Analytics,Customer Feedback AI,India,Bengaluru,20.8,100.0,75.0,Growth Stage,,False,India AI Dataset,enterpret,6,3.0819099697950434,4.61512051684126,0.2773333333333333
Trupeer,2023,Developer Tools,Product Documentation AI,India,Bengaluru,3.0,15.0,30.0,Early Stage,,False,India AI Dataset,trupeer,3,1.3862943611198906,2.772588722239781,0.1
Sprinklr,2009,MarTech,Unified CXM AI,India,Delhi NCR,600.0,3700.0,1000.0,Listed,,True,India AI Dataset,sprinklr,17,6.398594934535208,8.216358332386156,0.6
Senseforth,2017,Enterprise AI,Conversational AI,India,Bengaluru,5.0,25.0,75.0,Early Stage,,False,India AI Dataset,senseforth,9,1.791759469228055,3.258096538021482,0.06666666666666667
Niki.ai,2015,Consumer AI,Shopping AI / Chatbot,India,Bengaluru,15.0,0.0,75.0,Acquired,,False,India AI Dataset,niki.ai,11,2.772588722239781,0.0,0.2
Mad Street Den (Vue),2013,Retail AI,Visual Commerce AI,India,Chennai,30.0,150.0,150.0,Growth Stage,,False,India AI Dataset,mad street den (vue),13,3.4339872044851463,5.017279836814924,0.2
Preksha AI,2022,Enterprise AI,AI Sales Agent,India,Bengaluru,2.0,10.0,30.0,Early Stage,,False,India AI Dataset,preksha ai,4,1.0986122886681098,2.3978952727983707,0.06666666666666667
Kluisz,2023,Fintech AI,Wealth AI,India,Bengaluru,3.5,18.0,30.0,Early Stage,,False,India AI Dataset,kluisz,3,1.5040773967762742,2.9444389791664403,0.11666666666666667
Raftlabs,2018,Developer Tools,AI App Builder,India,Jaipur,4.0,20.0,75.0,Early Stage,,False,India AI Dataset,raftlabs,8,1.6094379124341003,3.044522437723423,0.05333333333333334
Invide,2019,HR Tech,Developer Hiring AI,India,Delhi NCR,3.0,15.0,30.0,Early Stage,,False,India AI Dataset,invide,7,1.3862943611198906,2.772588722239781,0.1
Lokal,2018,Media Tech,Local Language AI,India,Hyderabad,17.5,90.0,150.0,Growth Stage,,False,India AI Dataset,lokal,8,2.917770732084279,4.51085950651685,0.11666666666666667
Arthmate,2016,Fintech AI,NBFC / Lending AI,India,Delhi NCR,20.0,100.0,150.0,Growth Stage,,False,India AI Dataset,arthmate,10,3.044522437723423,4.61512051684126,0.13333333333333333
Agara,2019,Enterprise AI,Voice AI,India,Bengaluru,13.5,0.0,75.0,Acquired,,False,India AI Dataset,agara,7,2.6741486494265287,0.0,0.18
Progcap,2017,Fintech AI,Supply Chain Finance,India,Delhi NCR,25.0,130.0,150.0,Growth Stage,,False,India AI Dataset,progcap,9,3.258096538021482,4.875197323201151,0.16666666666666666
Qik.ai,2018,Enterprise AI,Knowledge AI,India,Mumbai,5.0,25.0,75.0,Early Stage,,False,India AI Dataset,qik.ai,8,1.791759469228055,3.258096538021482,0.06666666666666667
Vidooly,2014,Media Tech,Video Analytics AI,India,Delhi NCR,5.5,30.0,75.0,Early Stage,,False,India AI Dataset,vidooly,12,1.8718021769015913,3.4339872044851463,0.07333333333333333
Cube Wealth,2017,Fintech AI,Robo-advisory,India,Mumbai,15.0,75.0,75.0,Growth Stage,,False,India AI Dataset,cube wealth,9,2.772588722239781,4.330733340286331,0.2
Amber,2017,HR Tech,Employee Engagement AI,India,Delhi NCR,12.0,60.0,75.0,Growth Stage,,False,India AI Dataset,amber,9,2.5649493574615367,4.110873864173311,0.16
BotPenguin,2017,Enterprise AI,Chatbot Builder,India,Delhi NCR,2.0,10.0,30.0,Early Stage,,False,India AI Dataset,botpenguin,9,1.0986122886681098,2.3978952727983707,0.06666666666666667
WizCommerce,2021,Retail AI,B2B Commerce AI,India,Delhi NCR,3.5,18.0,30.0,Early Stage,,False,India AI Dataset,wizcommerce,5,1.5040773967762742,2.9444389791664403,0.11666666666666667
Recur Club,2021,Fintech AI,Revenue Based Finance,India,Bengaluru,30.0,150.0,75.0,Growth Stage,,False,India AI Dataset,recur club,5,3.4339872044851463,5.017279836814924,0.4
Astrosure AI,2024,Consumer AI,Astrology AI,India,Chennai,6.0,30.0,30.0,Early Stage,,False,India AI Dataset,astrosure ai,2,1.9459101490553132,3.4339872044851463,0.2
Livelytics,2021,Retail AI,Restaurant Analytics AI,India,Bengaluru,2.5,12.0,30.0,Early Stage,,False,India AI Dataset,livelytics,5,1.252762968495368,2.5649493574615367,0.08333333333333333
Talkdesk (India team),2011,Enterprise AI,Contact Center AI,India,Bengaluru,498.0,10000.0,1000.0,Late Stage,,True,India AI Dataset,talkdesk (india team),15,6.212606095751519,9.210440366976517,0.498
Slintel,2018,Enterprise AI,Sales Intelligence,India,Bengaluru,20.0,0.0,75.0,Acquired,,False,India AI Dataset,slintel,8,3.044522437723423,0.0,0.26666666666666666
Ozahub,2020,HealthTech,Pharma AI,India,Hyderabad,3.0,15.0,30.0,Early Stage,,False,India AI Dataset,ozahub,6,1.3862943611198906,2.772588722239781,0.1
Scaler,2019,EdTech,AI-powered Upskilling,India,Bengaluru,55.0,300.0,350.0,Growth Stage,,False,India AI Dataset,scaler,7,4.02535169073515,5.707110264748875,0.15714285714285714
Skillovilla,2020,EdTech,AI Career Platform,India,Delhi NCR,5.0,25.0,75.0,Early Stage,,False,India AI Dataset,skillovilla,6,1.791759469228055,3.258096538021482,0.06666666666666667
Hiver,2011,Productivity,Email AI / Helpdesk,India,Bengaluru,40.0,200.0,150.0,Growth Stage,,False,India AI Dataset,hiver,15,3.713572066704308,5.303304908059076,0.26666666666666666
Smallcase,2015,Fintech AI,Investment AI,India,Bengaluru,40.0,200.0,150.0,Growth Stage,,False,India AI Dataset,smallcase,11,3.713572066704308,5.303304908059076,0.26666666666666666
Recaptcha AI,2022,Security,Fraud Detection AI,India,Bengaluru,4.0,20.0,30.0,Early Stage,,False,India AI Dataset,recaptcha ai,4,1.6094379124341003,3.044522437723423,0.13333333333333333
Locus,2015,Logistics,Dispatch Intelligence AI,India,Bengaluru,80.0,400.0,350.0,Growth Stage,,False,India AI Dataset,locus,11,4.394449154672439,5.993961427306569,0.22857142857142856
Turing,2018,HR Tech,Developer Matching AI,India,Bengaluru,140.0,1000.0,350.0,Late Stage,,True,India AI Dataset,turing,8,4.948759890378168,6.90875477931522,0.4
Netcore Cloud,1997,MarTech,Marketing AI / CDP,India,Mumbai,100.0,500.0,750.0,Growth Stage,,False,India AI Dataset,netcore cloud,29,4.61512051684126,6.2166061010848646,0.13333333333333333
Turtlemint,2015,Fintech AI,Insurtech AI,India,Mumbai,180.0,900.0,350.0,Growth Stage,,False,India AI Dataset,turtlemint,11,5.198497031265826,6.803505257608338,0.5142857142857142
Arya.ag,2015,AgriTech,Agri Finance AI,India,Delhi NCR,100.0,500.0,350.0,Growth Stage,,False,India AI Dataset,arya.ag,11,4.61512051684126,6.2166061010848646,0.2857142857142857
Cohere (India office),2019,Foundation Models,LLM API,India,Bengaluru,270.0,2200.0,350.0,Growth Stage,,False,India AI Dataset,cohere (india office),7,5.602118820879701,7.696667081526462,0.7714285714285715
EarlySalary (Fibe),2015,Fintech AI,Consumer Lending AI,India,Pune,100.0,500.0,350.0,Growth Stage,,False,India AI Dataset,earlysalary (fibe),11,4.61512051684126,6.2166061010848646,0.2857142857142857
Razorpay,2014,Fintech AI,Payments AI,India,Bengaluru,741.0,7500.0,1000.0,Late Stage,,True,India AI Dataset,razorpay,12,6.60934924316738,8.922791623969637,0.741
Zepto,2021,Consumer AI,Quick Commerce AI,India,Mumbai,1400.0,5000.0,1000.0,Late Stage,,True,India AI Dataset,zepto,5,7.244941546337007,8.517393171418904,1.4
