company,founded_year,sector,subsector,country,city,funding_usd_millions,valuation_usd_millions,employees,startup_stage,profitable,is_unicorn,data_source,company_key
Cohere (India office),2019,Foundation Models,LLM API,India,Bengaluru,270.0,2200.0,200-500,Growth Stage,,False,India AI Dataset,cohere (india office)
EarlySalary (Fibe),2015,Fintech AI,Consumer Lending AI,India,Pune,100.0,500.0,200-500,Growth Stage,,False,India AI Dataset,earlysalary (fibe)
Razorpay,2014,Fintech AI,Payments AI,India,Bengaluru,741.0,7500.0,1000+,Late Stage,,True,India AI Dataset,razorpay
Zepto,2021,Consumer AI,Quick Commerce AI,India,Mumbai,1400.0,5000.0,1000+,Late Stage,,True,India AI Dataset,zepto
ByteDance,2017,Media & Entertainment,,China,Beijing,,225000.0,,Unicorn,,True,Unicorn Dataset,bytedance
SpaceX,2012,Industrials,,United States,Hawthorne,,150000.0,,Unicorn,,True,Unicorn Dataset,spacex
OpenAI,2019,Enterprise Tech,,United States,San Francisco,,80000.0,,Unicorn,,True,Unicorn Dataset,openai
SHEIN,2018,Consumer & Retail,,Singapore,Singapore City,,66000.0,,Unicorn,,True,Unicorn Dataset,shein
Stripe,2014,Financial Services,,United States,San Francisco,,65000.0,,Unicorn,,True,Unicorn Dataset,stripe
Databricks,2019,Enterprise Tech,,United States,San Francisco,,43000.0,,Unicorn,,True,Unicorn Dataset,databricks
Canva,2018,Enterprise Tech,,Australia,Surry Hills,,25400.0,,Unicorn,,True,Unicorn Dataset,canva
Revolut,2018,Financial Services,,United Kingdom,London,,33000.0,,Unicorn,,True,Unicorn Dataset,revolut
Epic Games,2018,Media & Entertainment,,United States,Cary,,22500.0,,Unicorn,,True,Unicorn Dataset,epic games
Fanatics,2012,Consumer & Retail,,United States,Jacksonville,,31000.0,,Unicorn,,True,Unicorn Dataset,fanatics
Chime,2019,Financial Services,,United States,San Francisco,,25000.0,,Unicorn,,True,Unicorn Dataset,chime
Xiaohongshu,2016,Media & Entertainment,,China,Shanghai,,20000.0,,Unicorn,,True,Unicorn Dataset,xiaohongshu
Miro,2022,Enterprise Tech,,United States,San Francisco,,17500.0,,Unicorn,,True,Unicorn Dataset,miro
Anthropic,2023,Enterprise Tech,,United States,San Francisco,,16050.0,,Unicorn,,True,Unicorn Dataset,anthropic
Yuanfudao,2017,Consumer & Retail,,China,Beijing,,15500.0,,Unicorn,,True,Unicorn Dataset,yuanfudao
DJI Innovations,2015,Industrials,,China,Shenzhen,,15000.0,,Unicorn,,True,Unicorn Dataset,dji innovations
Discord,2018,Media & Entertainment,,United States,San Francisco,,15000.0,,Unicorn,,True,Unicorn Dataset,discord
Gopuff,2020,Consumer & Retail,,United States,Philadelphia,,15000.0,,Unicorn,,True,Unicorn Dataset,gopuff
Yuanqi Senlin,2020,Consumer & Retail,,China,Beijing,,15000.0,,Unicorn,,True,Unicorn Dataset,yuanqi senlin
Ripple,2019,Financial Services,,United States,San Francisco,,15000.0,,Unicorn,,True,Unicorn Dataset,ripple
Plaid,2018,Financial Services,,United States,San Francisco,,13500.0,,Unicorn,,True,Unicorn Dataset,plaid
OpenSea,2021,Media & Entertainment,,United States,New York,,13300.0,,Unicorn,,True,Unicorn Dataset,opensea
Celonis,2018,Enterprise Tech,,Germany,Munich,,13000.0,,Unicorn,,True,Unicorn Dataset,celonis
Grammarly,2019,Media & Entertainment,,United States,San Francisco,,13000.0,,Unicorn,,True,Unicorn Dataset,grammarly
Devoted Health,2018,Healthcare & Life Sciences,,United States,Waltham,,12900.0,,Unicorn,,True,Unicorn Dataset,devoted health
Faire,2019,Consumer & Retail,,United States,San Francisco,,12590.0,,Unicorn,,True,Unicorn Dataset,faire
Brex,2018,Enterprise Tech,,United States,San Francisco,,12300.0,,Unicorn,,True,Unicorn Dataset,brex
JUUL Labs,2017,Consumer & Retail,,United States,San Francisco,,12000.0,,Unicorn,,True,Unicorn Dataset,juul labs
Bitmain Technologies,2018,Enterprise Tech,,China,Beijing,,12000.0,,Unicorn,,True,Unicorn Dataset,bitmain technologies
GoodLeap,2021,Financial Services,,United States,Roseville,,12000.0,,Unicorn,,True,Unicorn Dataset,goodleap
Xingsheng Selected,2020,Consumer & Retail,,China,Changsha,,12000.0,,Unicorn,,True,Unicorn Dataset,xingsheng selected
Deel,2021,Enterprise Tech,,United States,San Francisco,,12000.0,,Unicorn,,True,Unicorn Dataset,deel
Airtable,2018,Enterprise Tech,,United States,San Francisco,,11700.0,,Unicorn,,True,Unicorn Dataset,airtable
BYJU's,2017,Consumer & Retail,,India,Bengaluru,,11500.0,,Unicorn,,True,Unicorn Dataset,byju's
ZongMu Technology,2021,Industrials,,China,Shanghai,,11400.0,,Unicorn,,True,Unicorn Dataset,zongmu technology
Rippling,2020,Enterprise Tech,,United States,San Francisco,,11250.0,,Unicorn,,True,Unicorn Dataset,rippling
Global Switch,2016,Enterprise Tech,,United Kingdom,London,,11100.0,,Unicorn,,True,Unicorn Dataset,global switch
Checkout.com,2019,Financial Services,,United Kingdom,London,,11000.0,,Unicorn,,True,Unicorn Dataset,checkout.com
Bolt,2021,Financial Services,,United States,San Francisco,,11000.0,,Unicorn,,True,Unicorn Dataset,bolt
Alchemy,2021,Enterprise Tech,,United States,San Francisco,,10200.0,,Unicorn,,True,Unicorn Dataset,alchemy
Huolala,2019,Industrials,,China,Guangzhou,,10000.0,,Unicorn,,True,Unicorn Dataset,huolala
Wiz,2021,Enterprise Tech,,Israel,Tel Aviv,,10000.0,,Unicorn,,True,Unicorn Dataset,wiz
Gusto,2015,Financial Services,,United States,San Francisco,,10000.0,,Unicorn,,True,Unicorn Dataset,gusto
Chehaoduo,2016,Consumer & Retail,,China,Beijing,,10000.0,,Unicorn,,True,Unicorn Dataset,chehaoduo
Talkdesk,2018,Enterprise Tech,,United States,San Francisco,,10000.0,,Unicorn,,True,Unicorn Dataset,talkdesk
Notion,2020,Enterprise Tech,,United States,San Francisco,,10000.0,,Unicorn,,True,Unicorn Dataset,notion
Digital Currency Group,2021,Financial Services,,United States,New York,,10000.0,,Unicorn,,True,Unicorn Dataset,digital currency group
KuCoin,2022,Financial Services,,Seychelles,Victoria,,10000.0,,Unicorn,,True,Unicorn Dataset,kucoin
ServiceTitan,2018,Industrials,,United States,Glendale,,9500.0,,Unicorn,,True,Unicorn Dataset,servicetitan
HEYTEA,2019,Consumer & Retail,,China,Shenzhen,,9280.0,,Unicorn,,True,Unicorn Dataset,heytea
N26,2019,Financial Services,,Germany,Berlin,,9230.0,,Unicorn,,True,Unicorn Dataset,n26
Navan,2018,Enterprise Tech,,United States,Palo Alto,,9200.0,,Unicorn,,True,Unicorn Dataset,navan
VAST Data,2020,Enterprise Tech,,United States,New York,,9100.0,,Unicorn,,True,Unicorn Dataset,vast data
Northvolt,2019,Industrials,,Sweden,Stockholm,,9080.0,,Unicorn,,True,Unicorn Dataset,northvolt
Tanium,2015,Enterprise Tech,,United States,Kirkland,,9000.0,,Unicorn,,True,Unicorn Dataset,tanium
Niantic,2017,Media & Entertainment,,United States,San Francisco,,9000.0,,Unicorn,,True,Unicorn Dataset,niantic
OYO Rooms,2018,Consumer & Retail,,India,Gurugram,,9000.0,,Unicorn,,True,Unicorn Dataset,oyo rooms
Getir,2021,Consumer & Retail,,Turkey,Istanbul,,8800.0,,Unicorn,,True,Unicorn Dataset,getir
Rapyd,2019,Financial Services,,United Kingdom,London,,8750.0,,Unicorn,,True,Unicorn Dataset,rapyd
Kavak,2020,Industrials,,Mexico,Lerma de Villada,,8700.0,,Unicorn,,True,Unicorn Dataset,kavak
Nuro,2019,Industrials,,United States,Mountain View,,8600.0,,Unicorn,,True,Unicorn Dataset,nuro
